GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Gson,com.google.gson.internal.sql,SqlTimestampTypeAdapter.new TypeAdapterFactory() {...},10,9,1,1,2,3,1,2,0,2
Gson,com.google.gson.internal.sql,SqlDateTypeAdapter,89,5,4,0,22,1,5,1,3,1
Gson,com.google.gson.internal.sql,SqlTypesSupport.new DefaultDateTypeAdapter.DateType() {...},6,4,0,0,1,1,1,1,1,1
Gson,com.google.gson.internal.sql,SqlTypesSupport.new DefaultDateTypeAdapter.DateType() {...},6,4,0,0,1,1,1,1,1,1
Gson,com.google.gson.internal.sql,SqlTimestampTypeAdapter,28,5,2,0,7,1,4,1,3,1
Gson,com.google.gson.internal.sql,SqlTimeTypeAdapter.new TypeAdapterFactory() {...},5,9,1,1,1,3,1,2,0,2
Gson,com.google.gson.internal.sql,SqlTimeTypeAdapter,89,5,4,0,22,1,5,1,3,1
Gson,com.google.gson.internal.sql,SqlDateTypeAdapter.new TypeAdapterFactory() {...},5,9,1,1,1,3,1,2,0,2
Gson,com.google.gson.internal.sql,SqlTypesSupport,13,28,1,1,7,11,1,1,0,1
Gson,com.google.gson.internal.bind.util,ISO8601Utils,724,0,91,0,149,0,55,0,9,0
Gson,com.google.gson.reflect,TypeToken,552,191,78,22,111,43,53,19,10,12
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,34,0,0,0,6,0,3,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},14,11,3,1,4,3,3,2,1,2
Gson,com.google.gson.internal.bind,JsonTreeWriter.new Writer() {...},12,3,0,0,3,1,3,1,3,1
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,61,0,8,0,16,0,7,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,118,0,15,0,31,0,11,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,30,0,4,0,10,0,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},6,16,0,0,2,4,0,3,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,15,0,0,0,4,0,3,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,61,0,8,0,16,0,7,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,34,0,4,0,11,0,5,0,3
Gson,com.google.gson.internal.bind,NumberTypeAdapter,0,67,0,5,0,19,0,9,0,6
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},18,25,0,2,1,5,1,3,1,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},24,28,0,4,3,3,1,4,1,2
Gson,com.google.gson.internal.bind,NumberTypeAdapter.new TypeAdapterFactory() {...},0,15,0,2,0,2,0,3,0,2
Gson,com.google.gson.internal.bind,ArrayTypeAdapter.new TypeAdapterFactory() {...},0,36,1,5,0,10,1,4,0,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},24,28,0,4,3,3,1,4,1,2
Gson,com.google.gson.internal.bind,DefaultDateTypeAdapter,64,161,4,10,9,38,4,10,1,6
Gson,com.google.gson.internal.bind,DefaultDateTypeAdapter.DateType.new DefaultDateTypeAdapter.DateType() {...},0,6,0,0,0,2,0,2,0,2
Gson,com.google.gson.internal.bind,EnumTypeAdapter,24,161,3,13,5,31,3,9,0,4
Gson,com.google.gson.internal.bind,ObjectTypeAdapter.new TypeAdapterFactory() {...},0,20,0,2,0,4,0,3,0,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},4,18,1,1,2,5,1,3,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,41,0,2,0,11,0,4,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,27,0,4,0,7,0,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},6,72,0,6,2,18,0,6,0,3
Gson,com.google.gson.internal.bind,MapTypeAdapterFactory.Adapter,21,302,7,33,6,74,6,18,0,4
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},17,19,3,3,5,5,3,3,1,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,33,0,4,0,11,0,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},17,33,1,5,2,9,1,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},16,11,3,1,5,4,3,2,1,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,41,0,2,0,11,0,4,0,3
Gson,com.google.gson.internal.bind,EnumTypeAdapter.new TypeAdapterFactory() {...},0,29,1,5,0,8,1,4,0,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,28,0,4,0,10,0,5,0,3
Gson,com.google.gson.internal.bind,ObjectTypeAdapter,12,188,1,31,1,61,1,25,0,8
Gson,com.google.gson.internal.bind,TreeTypeAdapter,8,149,0,18,1,34,1,17,1,8
Gson,com.google.gson.internal.bind,CollectionTypeAdapterFactory,0,47,0,2,0,13,0,3,0,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},18,19,0,2,1,2,1,3,1,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapterFactory() {...},0,19,0,2,0,2,0,3,0,2
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},2,33,1,5,0,8,1,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,27,0,4,0,7,0,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},8,19,2,2,2,6,2,3,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},8,33,1,5,2,8,1,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},19,15,0,0,3,5,0,3,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},19,27,0,4,3,8,0,5,0,3
Gson,com.google.gson.internal.bind,MapTypeAdapterFactory,0,85,1,5,0,21,1,5,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,78,2,14,0,22,2,9,0,3
Gson,com.google.gson.internal.bind,TypeAdapters.new TypeAdapter() {...},0,153,1,12,0,48,1,11,0,3
Gson,com.google.gson.internal.bind,JsonAdapterAnnotationTypeAdapterFactory,1,236,1,35,0,58,1,25,0,8
Gson,com.google.gson.internal.bind,TypeAdapters.32.new TypeAdapter() {...},0,56,0,4,0,10,0,5,0,3
Gson,com.google.gson.internal.bind,JsonAdapterAnnotationTypeAdapterFactory.DummyTypeAdapterFactory,5,0,0,0,1,0,1,0,1,0
Gson,com.google.gson.internal.bind,TypeAdapterRuntimeTypeWrapper,0,86,0,16,0,29,0,13,0,5
